"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06F17/02","by pumps  (D06F17/04 takes precedence)","D06F17/04","Dishwashers / washing liquid circulation by appl. pressure","A47L15/08","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F17/04","solely by water jets","","Dishwashers having stat. baskets and rigidly mounted spraying devices","A47L15/16","","","","This place covers: Washing machines technically close to dishwashers."
"D06F17/06","by rotary impellers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F17/08","Driving arrangements for the impeller","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F17/10","Impellers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F17/12","solely by gases, e.g. air or steam, introduced into the washing liquid","","Dishwashers wherein the circulation of the washing liquid is obtained by introducing compressed gas (e.g. air) in the washing liquid","A47L15/10","","","","This place covers: Washing machines technically close to dishwashers (no drum is present)."
"D06F18/00","Washing machines having receptacles, stationary for washing purposes, and having further drying means   (control of washing or of washing and drying D06F33/00, D06F34/00; domestic laundry dryers D06F58/00)","D06F33/00|D06F34/00|D06F58/00","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F19/00","Washing machines using vibrations for washing purposes","","Devices of the vibrator type adapted to be used independently of any particular receptacle ","D06F7/04","","","","This place covers: Washing machines comprising vibrating devices."
"D06F21/00","Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement   (with receptacles serving both for washing and centrifugally separating water from the laundry D06F23/00, D06F25/00; programme control aspects D06F33/00)","D06F23/00|D06F25/00|D06F33/00","Washing machines with receptables moving bodily about an axis","D06F27/00","","","","This place covers: General concepts regarding the washing machine as a whole; Machines which do not necessarily spin-dry and which may comprise lifters and/or impellers."
"D06F21/02","about a horizontal axis","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F21/04","within an enclosing receptacle","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F21/06","about a vertical axis","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F21/08","within an enclosing receptacle","","","","","","","This place covers: Washing machines comprising a tub (enclosing receptacle). Illustrative example of subject matter classified in this group."
"D06F21/10","about an inclined axis","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F21/12","the receptacle having a wobbling motion","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F21/14","with rubbing or beating means not secured to, or forming part of, the receptacle","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F23/00","Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement, the receptacle serving both for washing and for centrifugally separating water from the laundry   (with further drying means D06F25/00; programme control aspects D06F33/00)","D06F25/00|D06F33/00","","","","","","This place covers: General layouts."
"D06F23/02","and rotating or oscillating about a horizontal axis","","","","","","","This place covers: Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement around an horizontal axis, the receptacle serving both for washing and centrifugally draining. Illustrative example of subject matter classified in this group."
"D06F23/025","{with a rotatable imperforate tub}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F23/04","and rotating or oscillating about a vertical axis","","","","","","","This place covers: Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement around a vertical axis, the receptacle serving both for washing and centrifugally draining. Illustrative example of subject matter classified in this group:"
"D06F23/06","and rotating or oscillating about an inclined axis","","","","","","","This place covers: Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement around an inclined axis, the receptacle serving both for washing and centrifugally draining. Illustrative example of subject matter classified in this group."
"D06F23/065","{with a rotatable imperforate tub}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F25/00","Washing machines with receptacles, e.g. perforated, having a rotary movement, e.g. oscillatory movement, the receptacle serving both for washing and for centrifugally separating water from the laundry and having further drying means, e.g. using hot air   (control of washing or of washing and drying D06F33/00, D06F34/00; domestic laundry dryers D06F58/00)","D06F33/00|D06F34/00|D06F58/00","","","","","","This place covers: General and simple aspects of the drying means. Illustrative example of subject matter classified in this group."
"D06F27/00","Washing machines with receptacles moving bodily, e.g. reciprocating, swinging","","","","","","","This place covers: Washing machines having receptacles which do not necessarily rotate around an axis and, wherein the washing action is mainly obtained by shaking, oscillating, lifting and/or dropping of the receptacle as a whole. Illustrative example of subject matter classified in this group."
"D06F29/00","Combinations of a washing machine with other separate apparatus in a common frame or the like, e.g. with rinsing apparatus","","","","","","","This place covers: Combinations of washing machines with other separate household appliances, wherein both devices share the same support structure (e.g. frame or casing). Illustrative example of subject matter classified in this group."
"D06F29/005","{the other separate apparatus being a drying appliance}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F29/02","with liquid-extracting apparatus  (with roller wringer D06F45/12)","D06F45/12","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F31/00","Washing installations comprising an assembly of several washing machines or washing units, e.g. continuous flow assemblies","","","","","","","This place covers: Industrial devices for hospitals, hotels or professional laundries. Illustrative example of subject matter classified in this group."
"D06F31/005","{consisting of one or more rotating drums through which the laundry passes in a continuous flow}","","","","","","","This place covers: Batch or tunnel washing machines, wherein the drums have either vertical or horizontal axes. Illustrative example of subject matter classified in this group."
"D06F33/06","substantially mechanically","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F33/08","substantially hydraulically","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F33/10","substantially pneumatically","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
